Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657
Acer,3.806248452943239,16,512,12.280360087854138,4.573865272745172,17436.72833420527
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409
Acer,3.341110589061807,32,512,13.611945328731418,4.0931489226598785,18501.83273321414
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707
Acer,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083
Acer,2.4975067596753258,16,1000,16.059668545618415,3.2314873821816636,32025.836689022144
Lenovo,1.511580057511507,8,1000,15.237159097780152,2.7781652022295886,31623.8142296768
Lenovo,2.3337479292278607,4,256,14.205743311362054,2.2627738922178393,9264.933977469056
Lenovo,2.3658649859149032,32,1000,13.893586167513153,3.8793710590307815,32817.51657673146
Lenovo,2.061512057349955,8,256,16.71480270012708,3.988388822629165,8973.58968596835
Acer,2.6310987903317336,16,256,12.36036429397978,4.611901644450471,9912.491624645294
Lenovo,1.8521425509494995,32,1000,16.276046121059167,4.277260797666916,32801.64628030737
Acer,1.9409674662655585,32,256,15.852739907381231,4.182587690675285,10174.195207302795
Acer,3.902675793673638,16,256,16.891434188459236,3.039676279449643,9701.0888184533
Acer,2.9884625433001095,32,1000,13.344092665915635,3.0125973976514566,33151.04094220564
Lenovo,1.6676911934710688,8,1000,12.148566082997256,4.408553626986638,31612.05196824762
Acer,2.912102833156541,8,1000,11.503517214928577,3.9443151036023703,31879.66275681356
Acer,1.9548203262381776,4,1000,11.697145739152676,2.2460710556344123,31169.850513456506
Acer,3.6544640525337937,4,256,15.685975361689948,2.1048177392179652,9486.59493721812
Acer,2.4332732906993826,16,512,14.60661617374597,2.0900639964472156,17299.66299417338
Acer,3.289930572118494,16,1000,13.700699158848868,4.285027628640988,32339.842111645936
Acer,1.5677399812587087,16,256,11.618728174448457,3.9137056236588847,9437.652448312245
Acer,2.0549304048323735,4,512,14.286708166299915,4.9555236652720245,16879.49194023418
Lenovo,1.946361655135834,32,256,14.118225577366903,3.502132777510014,10327.843844709536
Lenovo,3.131865269629687,16,1000,11.444253307474089,3.93458366844494,31996.360216835685
Lenovo,1.748603481898363,32,512,14.10073963476895,3.2888685916905325,18295.118647808857
Lenovo,2.107930477498635,8,1000,15.440968212568778,2.8368142282204305,31362.16189438691
Lenovo,3.6392411702657146,8,512,14.29763761118454,2.2986395384263254,17146.71360929845
Acer,3.575549661417479,8,256,15.138673095488729,3.8095764968440022,9491.27221480852
Acer,1.5663305096845492,4,1000,11.552571519397414,3.807409492110365,31197.896010928464
Lenovo,1.9535885877244936,32,256,14.320274096760244,3.5349157475570423,10711.444213390389
Lenovo,2.5535613764812446,16,256,15.222753865943046,2.8634938965548176,9478.12050527792
Lenovo,3.731679277692437,8,1000,13.239558886776551,2.27981434033451,31512.88406850961
Lenovo,2.35454337924469,8,256,13.704118849633478,2.405240438677282,9143.215708902308
Acer,2.1485585835782315,16,256,15.03233623251352,2.455326229553306,9819.847510197049
Lenovo,2.4492310204181673,16,512,14.501341803948913,4.668729854991477,17407.53842775571
Acer,2.17015910205719,32,1000,12.497146201029492,4.29748711770473,32689.03038985435
Lenovo,2.523529130478101,16,256,12.044490051868577,2.004038812869691,9415.94255327567
Acer,3.409014485399402,4,512,16.634342575803124,4.829185692220914,17204.64783482446
Lenovo,1.850282939416131,8,1000,11.040092775343329,2.9714587247072943,31515.502993169488
Acer,3.7363805672352286,32,256,13.241328806286091,2.753240310995503,10905.979465289627
Acer,2.5630337611730836,16,256,14.764919430705676,2.637001922860674,9790.713628803494
Acer,1.5561732708002936,16,256,13.313681077193888,2.366022240730667,9168.638971150249
Lenovo,2.171693398462365,32,512,16.617602836479314,4.10414985667907,18277.152535880618
Acer,2.8540855366521676,32,512,14.251940449338596,2.34032245131175,18464.505286084324
Acer,2.1447192135830058,32,512,12.322902160839824,2.550357203450688,17980.79592868101
Lenovo,1.8483901851820603,8,1000,15.35435546218462,3.7824255882693727,31389.465244648156
Lenovo,3.5873255919982476,8,1000,14.703494125092355,3.234123714237768,31772.920990386385
Acer,2.1807683162984226,32,1000,13.988242358341214,4.420272691367378,32806.59086064783
Acer,3.785747016401248,4,512,12.962267864910906,3.4481404192308034,16954.6650023628
Lenovo,3.574354509268004,32,512,14.076358365570655,4.4165777407281706,18492.16211284153
Lenovo,3.0012921510841335,32,1000,12.224147994431473,3.64008898488902,33063.16548039221
Acer,3.7860298648124,8,512,11.300111460926674,4.400619043050737,16953.654943429603
Lenovo,2.4578463206237435,4,1000,11.177024330871236,2.4520624610025012,31218.308199175553
Lenovo,2.797294263207094,4,1000,13.135826194930369,4.554782957912657,31293.44806820096
Acer,1.9157084218901983,32,1000,11.46287101123749,4.1805164931447125,32653.960197510933
Lenovo,1.706996669812816,16,1000,13.129164984476889,4.98324580267662,31661.07806674929
Lenovo,2.4732390351049416,16,512,14.58257462112032,4.512592502228167,17108.252961770988
Lenovo,3.3314302430256255,16,256,13.38468894139455,3.3270995993072563,9960.39760411128
Acer,1.5779578376532115,8,1000,12.520143020357969,4.053878582794899,31123.000523561637
Lenovo,1.6285645337106258,32,256,15.624455185433307,2.382108420343643,10282.909929516276
Acer,1.7664956328344297,4,1000,16.191160084386865,3.496913350741298,31216.57452719055
Lenovo,2.738728290515496,16,1000,11.210047488840834,3.934708715877068,31817.73844347585
Acer,2.5870683465093656,32,512,13.468036798994865,2.896348613162755,17967.132684905315
Lenovo,3.236741177136067,4,256,13.996590619201012,3.6630700436491073,9141.792983885032
Lenovo,2.1803628430749065,8,512,14.210153027593597,2.4446523862979737,16929.315969834894
Acer,2.402434742350067,32,256,15.703924152136132,4.44582899327168,10241.803176187252
Lenovo,1.8420465772974035,16,256,15.710586284574246,4.696363669212043,9881.335513541208
Lenovo,2.8547523684458955,32,1000,13.445797147877936,3.9988035844371153,33014.12791272006
Acer,3.6823645896910207,4,512,13.817153252263177,4.966506594167493,17151.988889149306
Lenovo,3.3305622160239032,4,512,11.169867646416009,2.6771831715173824,16609.82135919522
Lenovo,3.230691411294631,8,256,15.277760047152835,2.4140464610601553,9346.064573576532
Lenovo,2.1241700221479647,8,1000,13.452663567374792,4.4891685989648735,31372.50378014099
Lenovo,2.0530236045490056,8,512,11.671283699294744,3.214175191488976,16713.611745764396
Lenovo,3.969170019991618,32,256,14.098546329311668,2.2629495085839597,10901.062546460897
Lenovo,3.7887207439701047,4,256,15.835067195706998,3.46710732592286,9477.922638839167
Lenovo,3.8606662227835846,16,1000,15.45518499704253,3.999851254638117,32319.90329556232
Acer,1.6923830040730228,32,512,12.3907015417361,4.302496491772116,18161.471638723186
Acer,3.2407219396953493,8,1000,12.911653776581645,2.922589386471369,31859.430745037665
Lenovo,2.3496874094201656,32,256,16.42135066059518,3.4761634681472016,10668.632633116544
Lenovo,2.288225844576526,8,1000,13.093340450250942,2.678099590365956,31503.17147173213
Lenovo,2.848728230938343,4,256,14.12959637606815,3.653152859884797,9024.89080903652
Lenovo,3.476807912097409,8,1000,15.766913801890944,3.570690738589567,31547.05112729735
Lenovo,3.039657970455761,16,1000,13.487096388900753,4.314536185995463,32447.60269492614
Lenovo,1.553173527125968,8,256,13.46656165328264,3.422492888815959,8991.512288250062
Lenovo,2.8223428350680297,32,1000,13.308821703326618,2.1442769312361065,32808.856450782005
Acer,3.4969580894341634,4,512,13.57765155279418,4.797633768057352,16854.30343210921
Lenovo,2.504827284023105,16,256,15.736593165171149,3.795785322214012,10131.593323529152
Acer,2.699689050759772,32,1000,12.780720092119104,3.9588489744135265,33111.68849986043
Acer,2.5533925056926754,32,1000,11.728972346526591,2.2239152932382864,32629.16325767026
Lenovo,2.0969428644207557,16,1000,14.49286284546679,4.989696968866947,32205.99180089257
Lenovo,2.240770301139975,8,512,12.001586424905009,4.824730558201802,16912.47369317647
Lenovo,2.084019377624774,32,256,12.46237689514605,3.589141898325103,10428.1312270273
Acer,1.6052329740909048,8,1000,12.605604793170246,4.197165339792665,31566.9558113889
Lenovo,1.5446848368335346,8,512,13.014042998234356,4.772323147733839,16777.65548577389
Lenovo,3.9693059743400783,8,256,15.496342716806954,4.9255399279265255,9647.836304717026
Lenovo,2.569432834339656,16,512,14.431473223103604,4.499613069790023,17291.107749054692
Acer,3.199118206732675,32,1000,13.488414961804828,4.899642549656248,33063.24200044911
Acer,1.7235275057806487,16,512,13.471188442504976,2.9217168855431614,17573.057889351905
Acer,3.697795768905411,16,512,12.222002826636109,3.651415331308822,17844.559013165475
Lenovo,3.8618300557285257,8,256,12.965312991080795,4.3700445246796455,9905.976594804111
Lenovo,3.0335284730267693,4,1000,14.45245632371689,3.739193498402576,31446.721179529304
Acer,3.124116622480921,4,512,16.598763406449848,2.4981575644446092,17299.430104201827
Acer,3.019341987197148,16,512,13.634573391504972,2.183314002858897,17354.575214695695
Lenovo,2.7817212775412714,32,1000,16.88261342162223,3.4979088380429757,32706.13245163676
Acer,2.0512155226754385,32,1000,15.588805834755664,4.823144780115131,32809.51886963163
Acer,1.9660956553606364,4,1000,15.073386350467043,4.617965216528166,31435.52408550944
Acer,2.3753131479168252,8,1000,16.708652172354086,4.957415962550617,31908.592069712
Lenovo,1.644606691408491,16,256,15.658935815906109,2.0005595845119895,9608.2795423112
Acer,3.987269556616088,8,1000,13.448714340955538,3.1908439188028783,32018.23509548631
Acer,1.9347381230487184,16,256,16.31371858545064,3.366149406441823,9594.15776505564
Lenovo,3.395596189260228,4,1000,15.287847649452344,4.191477432446899,31613.457503593017
Lenovo,2.0595440370565576,16,1000,13.790331489803863,3.57577525634475,31987.43351882683
Lenovo,2.950215519594528,8,1000,11.764318496002035,2.892084593925417,31916.074468038503
Lenovo,3.6553190431636264,32,256,11.080206099556374,2.1258922203309027,10722.279304129946
Acer,3.523790186812195,16,1000,13.458435418657634,3.0909360767583487,31974.33199154367
Lenovo,1.7174668997785254,8,1000,12.685291791117464,2.7627836943345936,31397.565079435713
Acer,2.1493844594008156,32,256,13.875560539487225,4.03517565650904,10428.784835638491
Acer,3.20814690914899,32,1000,16.89024405512685,3.675056945192341,33370.4420797472
Lenovo,2.70146644331662,4,512,12.389290615790292,3.5709902481638323,16972.93001014014
Lenovo,3.195040381397659,4,512,11.420021072798397,2.602312924270036,17045.60392779002
Acer,3.696574965887895,8,256,15.239805580805578,4.747364718362381,9506.548360762825
Lenovo,3.59253332090918,16,512,13.275359223082694,4.963248617297566,17642.983733872454
Acer,3.200351929400751,16,1000,16.053953028499606,3.182408140347885,32262.797855749
Acer,3.381791598894103,16,512,14.791932082377134,4.4050528795739154,17603.49328037393
Acer,1.573118207586398,8,512,14.486090560250656,2.031480923419833,17113.947291297496
Acer,1.8221746686836129,4,1000,14.28819413998544,2.447422477819212,30846.987761411416
Lenovo,3.358770640729019,32,256,13.10121794654438,3.853794679538894,10625.405372692512
Acer,3.5449175602976553,32,256,15.551011285498344,4.621624866563055,10574.274152103791
Lenovo,2.217595332937282,32,256,13.319721035803006,3.054626780149094,10425.0758545074
Lenovo,3.9529654450685583,32,1000,13.08177595840735,2.0723305802260006,33201.8544477546
Acer,2.849963449289638,8,1000,14.632470545045525,3.377994322401628,31565.967734645805
Acer,1.767451597067396,16,256,15.64581609766757,4.716616513786703,9786.04722822343
Acer,3.9074800096474864,4,512,15.549603752336354,3.3234516566918972,17120.15347016301
Acer,1.6695926477629297,8,512,14.598627889822987,3.398348877975467,17123.885107886974
Acer,2.2524089173670405,32,256,16.169082243361363,3.336159577933617,10425.010327871876
Acer,1.6683765036719294,32,512,15.34606643797724,2.7421992411750375,18117.85936553154
Acer,2.955426150440683,4,256,15.474520274456756,4.598877307946544,9160.564023519024
Acer,2.364707642382392,16,256,14.347564670904204,2.493885284776006,9603.56820750981
Lenovo,3.0522887944186925,32,1000,14.508008540994949,3.245374818604163,32836.15779017243
Lenovo,3.933722422943492,32,512,13.704657703318183,2.0630633201786512,18544.964478764847
Acer,3.9221946382142288,4,256,16.75098701400644,4.458828659197399,9415.277230204896
Acer,1.82521560032658,32,512,14.296055869416543,4.36322656490711,18033.55330712699
Acer,1.5614672911470038,8,512,14.820570302265963,4.511711654665454,16883.31863737996
Acer,2.7216079760116645,32,512,14.172346514590616,3.875989879112699,17768.37330818461
Acer,2.1840666657041647,32,512,14.928254452137796,2.732484826148459,18194.156696522925
Acer,2.6284675608241885,8,1000,15.660742900443363,4.564417336397785,31803.034281971497
Acer,3.2342055644537213,8,1000,16.899833940910803,2.81185998408079,31768.887337692777
Lenovo,3.877158905626026,32,1000,13.78394078878655,3.561348212495858,33503.93503731473
Acer,3.859039800418997,32,256,16.330784659537525,2.7743117874814054,10483.978626601363
Acer,2.5493182923153057,32,512,15.945961351275615,2.34062192697886,18164.70384756868
Lenovo,2.5233350157876075,16,256,12.206390912299671,3.5746999601775147,9852.218947732548
Lenovo,1.5778352072112785,8,512,15.000631458703385,3.3628351903694673,16841.407279690808
Acer,2.683024766728893,8,1000,15.241027134683248,4.3894531679887425,31587.747092398495
Lenovo,3.920483569786804,16,512,16.803581525158194,4.270274270740785,17358.181126541185
Lenovo,1.963813789257803,16,512,15.959912344763843,4.041674485337304,17330.027682309257
